0,0
0,0
6012,-201
6315,-138
6617,-57
6918,48
7220,141
7522,159
7824,91
8125,-43
8427,-181
8729,-236
9031,-177
9332,-35
9634,145
9936,278
10238,286
10540,164
10842,-34
11144,-216
11446,-276
11747,-219
12018,-97
15289,85
15591,50
15893,3
16194,-54
16496,-97
16798,-83
17100,-21
17401,60
17703,125
18006,131
18308,68
18609,-43
18911,-140
19213,-167
19514,-109
19816,5
20118,113
20420,153
20721,108
21023,-3
21295,-106
24771,147
25072,113
25374,74
25676,25
25977,-24
26279,-60
26582,-56
26884,-21
27185,36
27487,81
27789,77
28091,20
28392,-69
28694,-139
28996,-149
29298,-97
29599,6
29901,106
30203,138
30505,80
30777,-34
34252,138
34553,86
34855,20
35158,-55
35459,-106
35761,-101
36063,-42
36365,46
36666,118
36968,126
37270,70
37572,-47
37873,-158
38175,-195
38477,-144
38779,-26
39080,127
39383,238
39685,227
39987,100
40258,-77
43735,154
44036,96
44338,28
44640,-45
44941,-96
45243,-94
45545,-38
45847,47
46148,119
46450,124
46752,59
47053,-55
47355,-163
47657,-202
47960,-147
48261,-24
48563,129
48865,235
49167,228
49468,111
49739,-59
